phraseId,attemptNumber,durationMs,sampleRate,channelCount,rmsLevel,peakLevel,clippingDetected,signalTooQuiet,signalTooLoud,silenceBeforeSpeechMs,silenceAfterSpeechMs,speechDurationMs,audioFilePath
"whisper_beam_001","1","3998.0625","16000","1","0.026748775552218714","0.221832275390625","False","False","False","683.75","58.1875","3256.125","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\whisper_beam_001_attempt1.wav"
"whisper_beam_002","1","4998.0625","16000","1","0.03356312754977939","0.274810791015625","False","False","False","3354.4375","0.5625","1643.0625","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\whisper_beam_002_attempt1.wav"
"whisper_beam_002","2","4998.0625","16000","1","0.03965326889686898","0.27374267578125","False","False","False","578.25","2411.25","2008.5625","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\whisper_beam_002_attempt2.wav"
"whisper_vram_003","1","5978.0625","16000","1","0.03452285332770417","0.2039794921875","False","False","False","926.1875","968.6875","4083.1875","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\whisper_vram_003_attempt1.wav"
"whisper_large_004","1","4988.0625","16000","1","0.03639200742257365","0.288177490234375","False","False","False","906","787","3295.0625","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\whisper_large_004_attempt1.wav"
"whisper_cuda_005","1","3998.0625","16000","1","0.03707842875159677","0.385772705078125","False","False","False","1029.5","1072.25","1896.3125","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\whisper_cuda_005_attempt1.wav"
"whisper_bean_006","1","3998.0625","16000","1","0.02848828916266287","0.27294921875","False","False","False","949.0625","1618.875","1430.125","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\whisper_bean_006_attempt1.wav"
"whisper_medium_007","1","3998.0625","16000","1","0.03199193143201006","0.25958251953125","False","False","False","1078.6875","912.5","2006.875","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\whisper_medium_007_attempt1.wav"
"merlin_sqlite_001","1","4988.0625","16000","1","0.03195797534910811","0.20135498046875","False","False","False","838.375","1111.375","3038.3125","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\merlin_sqlite_001_attempt1.wav"
"merlin_sqlite_002","1","5998.0625","16000","1","0.02760738754603544","0.193389892578125","False","False","False","703.3125","1865","3429.75","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\merlin_sqlite_002_attempt1.wav"
"merlin_deepinfra_003","1","4988.0625","16000","1","0.026455605658653007","0.308929443359375","False","False","False","966.3125","1945.6875","2076.0625","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\merlin_deepinfra_003_attempt1.wav"
"merlin_deepinfra_004","1","4988.0625","16000","1","0.032680674116274254","0.332916259765625","False","False","False","673.1875","1988.5625","2326.3125","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\merlin_deepinfra_004_attempt1.wav"
"merlin_memory_005","1","4988.0625","16000","1","0.027820329071694943","0.226348876953125","False","False","False","511.25","2024.6875","2452.125","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\merlin_memory_005_attempt1.wav"
"merlin_brain_006","1","3988.0625","16000","1","0.03404608930084666","0.231964111328125","False","False","False","822.0625","1163.625","2002.375","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\merlin_brain_006_attempt1.wav"
"merlin_medium_memory_007","1","4998.0625","16000","1","0.03455523932124528","0.314208984375","False","False","False","512","1893.6875","2592.375","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\merlin_medium_memory_007_attempt1.wav"
"merlin_decision_008","1","3988.0625","16000","1","0.02204505796472849","0.213348388671875","False","False","False","692.9375","1588.875","1706.25","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\merlin_decision_008_attempt1.wav"
"routing_time_001","1","2998.0625","16000","1","0.017046220038108708","0.18975830078125","False","False","False","691.4375","1743.4375","563.1875","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\routing_time_001_attempt1.wav"
"routing_spotify_002","1","4988.0625","16000","1","0.03036288741776672","0.228057861328125","False","False","False","444.5625","2575.9375","1967.5625","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\routing_spotify_002_attempt1.wav"
"routing_spotify_002","2","4998.0625","16000","1","0.026293149394412994","0.261474609375","False","False","False","459.5","2911.1875","1627.375","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\routing_spotify_002_attempt2.wav"
"routing_ram_003","1","3988.0625","16000","1","0.022194838222256395","0.224029541015625","False","False","False","622.875","2331.5","1033.6875","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\routing_ram_003_attempt1.wav"
"routing_discord_004","1","2988.0625","16000","1","0.02794315165140638","0.30010986328125","False","False","False","1097.5625","1154","736.5","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\routing_discord_004_attempt1.wav"
"routing_gpu_005","1","3988.0625","16000","1","0.027948741824213055","0.264739990234375","False","False","False","1184.0625","1492.625","1311.375","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\routing_gpu_005_attempt1.wav"
"routing_memory_usage_006","1","4998.0625","16000","1","0.03277653807456568","0.307525634765625","False","False","False","965.125","1714.5625","2318.375","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\routing_memory_usage_006_attempt1.wav"
"routing_memory_size_007","1","4998.0625","16000","1","0.03541000833859522","0.283721923828125","False","False","False","542.3125","2205.75","2250","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\routing_memory_size_007_attempt1.wav"
"sentence_sqlite_001","1","5988.0625","16000","1","0.037165523636305764","0.237762451171875","False","False","False","570.1875","1674.875","3743","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\sentence_sqlite_001_attempt1.wav"
"sentence_deepinfra_002","1","6988.0625","16000","1","0.03382512817702995","0.240081787109375","False","False","False","502.4375","2093.6875","4391.9375","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\sentence_deepinfra_002_attempt1.wav"
"sentence_codex_cuda_003","1","5998.0625","16000","1","0.04115717934221024","0.28680419921875","False","False","False","928","636.4375","4433.625","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\sentence_codex_cuda_003_attempt1.wav"
